"ObsWell","first_obs","GapHours","Well_ID.x","STATUS.x","Present.in.PGOWN.Spreadsheet.","Well_ID.y","STATUS.y","Present in PGOWN Spreadsheet?","Region","gap_type"
"OW507","2021-04-08T12:00:00.0000000-07:00",2802,507,"Active","yes",507,"Active","yes","West Coast","> 81 Days"
"OW508","2023-07-04T15:00:00.0000000-07:00",0,508,"Active","yes",508,"Active","yes","Okanagan-Kootenay","< 27 Days"
"OW509","2023-06-06T13:00:00.0000000-07:00",128,509,"Active","yes",509,"Active","yes","Okanagan-Kootenay","< 27 Days"
"OW510","2023-02-10T14:00:00.0000000-07:00",0,510,"Active","yes",510,"Active","yes","Okanagan-Kootenay","< 27 Days"
"OW511","2022-11-30T16:00:00.0000000-07:00",0,511,"Active","yes",511,"Active","yes","South Coast","< 27 Days"
"OW512","2023-02-21T15:00:00.0000000-07:00",0,512,"Active","yes",512,"Active","yes","Okanagan-Kootenay","< 27 Days"
"OW513","2018-11-28T14:00:00.0000000-07:00",0,513,"Active","yes",513,"Active","yes","Skeena","< 27 Days"
"OW514","2023-05-04T03:00:00.0000000-07:00",0,514,"Active","yes",514,"Active","yes","Okanagan-Kootenay","< 27 Days"
"OW515","2023-05-04T03:00:00.0000000-07:00",0,515,"Active","yes",515,"Active","yes","Okanagan-Kootenay","< 27 Days"
"OW516","2023-11-15T14:00:00.0000000-07:00",0,516,"Active","yes",516,"Active","yes","Omineca","< 27 Days"
"OW517","2023-11-15T15:00:00.0000000-07:00",0,517,"Active","yes",517,"Active","yes","Omineca","< 27 Days"
"OW518","2024-08-27T12:00:00.0000000-07:00",195,518,"Active","yes",518,"Active","yes","Okanagan-Kootenay","< 27 Days"
"OW520","2024-11-15T12:00:00.0000000-07:00",0,520,"Active","yes",520,"Active","yes","Skeena","< 27 Days"
"OW521","2025-03-18T16:00:00.0000000-07:00",14,521,"Active","yes",521,"Active","yes","West Coast","< 27 Days"
"OW523","2022-04-11T13:00:00.0000000-07:00",4,523,"Active","yes",523,"Active","yes","Northeast","< 27 Days"
